company,title,site,deadline,url,job_text
기아(주),[인턴십]Tech-Driven Smart Manufacturing(신차개발 데이터분석),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53568026&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[인턴십]Tech-Driven Smart Manufacturing(신차개발 데이터분석)
(주)레이어,[LAYER] 데이터분석가 채용 (경력 2년 이상),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53412875&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[LAYER] 데이터분석가 채용 (경력 2년 이상)
(주)큐빅테크,(주)큐빅테크 데이터분석 업무 및 AX응용프로그램 개발자 모집,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53619506&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,(주)큐빅테크 데이터분석 업무 및 AX응용프로그램 개발자 모집
(주)인포와이즈,산업 자재·설비 데이터 분석가 모집(신입),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53428181&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,산업 자재·설비 데이터 분석가 모집(신입)
(주)케이플러스,금융리스크관리 및 데이터분석 컨설팅 연구원 모집,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53425475&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,금융리스크관리 및 데이터분석 컨설팅 연구원 모집
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집",Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53172234&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집"
콘센트릭스서비스코리아(유),데이터 분석(태깅)/기획,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53110895&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,데이터 분석(태깅)/기획
콘센트릭스서비스코리아(유),GA/AA 데이터분석,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53587791&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,GA/AA 데이터분석
넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53397797&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[캐시워크] 데이터분석 담당 채용전환형 인턴
(주)예스마케팅,[예스마케팅] 온라인광고 데이터 분석 및 자동화 담당자 채용,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53449241&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[예스마케팅] 온라인광고 데이터 분석 및 자동화 담당자 채용
